"filename", "language", "Markdown", "Makefile", "Python", "Shell Script", "Properties", "C++", "C", "Batch", "Log", "PowerShell", "comment", "blank", "total"
"c:\Users\SEBA\Downloads\RiduxOS\Makefile", "Makefile", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 115
"c:\Users\SEBA\Downloads\RiduxOS\README.md", "Markdown", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 199
"c:\Users\SEBA\Downloads\RiduxOS\build_wsl\assets.h", "C++", 0, 0, 0, 0, 0, 29317, 0, 0, 0, 0, 0, 40, 29357
"c:\Users\SEBA\Downloads\RiduxOS\build_wsl\font8x16.h", "C++", 0, 0, 0, 0, 0, 21516, 0, 0, 0, 0, 0, 5, 21521
"c:\Users\SEBA\Downloads\RiduxOS\build_wsl\iso\boot\grub\grub.cfg", "Properties", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 4, 21
"c:\Users\SEBA\Downloads\RiduxOS\grub\grub.cfg", "Properties", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 4, 21
"c:\Users\SEBA\Downloads\RiduxOS\rootfs\etc\autoboot.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\SEBA\Downloads\RiduxOS\rootfs\var\log\boot.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\SEBA\Downloads\RiduxOS\scripts\boot-virtualbox.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 3, 15, 83
"c:\Users\SEBA\Downloads\RiduxOS\src\compat.c", "C", 0, 0, 0, 0, 0, 0, 906, 0, 0, 0, 73, 76, 1055
"c:\Users\SEBA\Downloads\RiduxOS\src\compat.h", "C++", 0, 0, 0, 0, 0, 651, 0, 0, 0, 0, 68, 127, 846
"c:\Users\SEBA\Downloads\RiduxOS\src\compat2.c", "C", 0, 0, 0, 0, 0, 0, 981, 0, 0, 0, 108, 84, 1173
"c:\Users\SEBA\Downloads\RiduxOS\src\compat2.h", "C++", 0, 0, 0, 0, 0, 397, 0, 0, 0, 0, 69, 69, 535
"c:\Users\SEBA\Downloads\RiduxOS\src\compat3.c", "C", 0, 0, 0, 0, 0, 0, 4722, 0, 0, 0, 71, 256, 5049
"c:\Users\SEBA\Downloads\RiduxOS\src\compat3.h", "C++", 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 41, 25, 282
"c:\Users\SEBA\Downloads\RiduxOS\src\compat4.c", "C", 0, 0, 0, 0, 0, 0, 1415, 0, 0, 0, 70, 74, 1559
"c:\Users\SEBA\Downloads\RiduxOS\src\compat4.h", "C++", 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 39, 31, 350
"c:\Users\SEBA\Downloads\RiduxOS\src\compat5.c", "C", 0, 0, 0, 0, 0, 0, 520, 0, 0, 0, 17, 16, 553
"c:\Users\SEBA\Downloads\RiduxOS\src\compat5.h", "C++", 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 49, 34, 232
"c:\Users\SEBA\Downloads\RiduxOS\src\compat6.c", "C", 0, 0, 0, 0, 0, 0, 643, 0, 0, 0, 10, 82, 735
"c:\Users\SEBA\Downloads\RiduxOS\src\compat6.h", "C++", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 7, 37
"c:\Users\SEBA\Downloads\RiduxOS\src\flush.c", "C", 0, 0, 0, 0, 0, 0, 1184, 0, 0, 0, 36, 79, 1299
"c:\Users\SEBA\Downloads\RiduxOS\src\flush.h", "C++", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
"c:\Users\SEBA\Downloads\RiduxOS\src\kernel.c", "C", 0, 0, 0, 0, 0, 0, 6038, 0, 0, 0, 377, 463, 6878
"c:\Users\SEBA\Downloads\RiduxOS\tools\gen_assets.py", "Python", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 1, 37, 201
"c:\Users\SEBA\Downloads\RiduxOS\tools\gen_font.py", "Python", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 1, 27, 169
"c:\Users\SEBA\Downloads\RiduxOS\tools\package_chromium_rootfs.sh", "Shell Script", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 4, 21, 225
"Total", "-", 151, 86, 304, 200, 30, 52602, 16409, 3, 3, 65, 1045, 1663, 72561
