"filename", "language", "C++", "C", "Markdown", "Properties", "Shell Script", "Python", "Makefile", "PowerShell", "Log", "XML", "Ini", "YAML", "JSON", "Perl", "JavaScript", "Ruby", "CSV", "Docker", "CMake", "Groovy", "Codex Rules", "Batch", "Lua", "reStructuredText", "pip requirements", "Diff", "TSV", "HTML", "C#", "GLSL", "MS SQL", "PostCSS", "SCSS", "LaTeX", "Objective-C", "Julia", "BibTeX", "Java", "R", "Visual Basic", "comment", "blank", "total"
"c:\Users\SEBA\Downloads\RiduxOS\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 187
"c:\Users\SEBA\Downloads\RiduxOS\README.md", "Markdown", 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 362
"c:\Users\SEBA\Downloads\RiduxOS\build_wsl\assets.h", "C++", 29317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 29357
"c:\Users\SEBA\Downloads\RiduxOS\build_wsl\font8x16.h", "C++", 21516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21521
"c:\Users\SEBA\Downloads\RiduxOS\build_wsl\iso\boot\grub\grub.cfg", "Properties", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"c:\Users\SEBA\Downloads\RiduxOS\docs\chrome-real-roadmap.md", "Markdown", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 67
"c:\Users\SEBA\Downloads\RiduxOS\docs\debian-integration-roadmap.md", "Markdown", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 63
"c:\Users\SEBA\Downloads\RiduxOS\docs\freebsd-integration-roadmap.md", "Markdown", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 74
"c:\Users\SEBA\Downloads\RiduxOS\freebsd\README.md", "Markdown", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 77
"c:\Users\SEBA\Downloads\RiduxOS\freebsd\ridux-kmod\ridux_kmod.c", "C", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 38
"c:\Users\SEBA\Downloads\RiduxOS\freebsd\ridux-runtime\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\SEBA\Downloads\RiduxOS\freebsd\ridux-runtime\ridux-app.sh", "Shell Script", 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45, 382
"c:\Users\SEBA\Downloads\RiduxOS\freebsd\ridux-runtime\ridux-browser.sh", "Shell Script", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 43
"c:\Users\SEBA\Downloads\RiduxOS\freebsd\ridux-runtime\ridux-compat.sh", "Shell Script", 0, 0, 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46, 442
"c:\Users\SEBA\Downloads\RiduxOS\freebsd\ridux-runtime\ridux-ui.c", "C", 0, 933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 141, 1080
"c:\Users\SEBA\Downloads\RiduxOS\grub\grub.cfg", "Properties", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 21
"c:\Users\SEBA\Downloads\RiduxOS\linux\ridux-runtime\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 31
"c:\Users\SEBA\Downloads\RiduxOS\linux\ridux-runtime\assets.h", "C++", 29317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 29357
"c:\Users\SEBA\Downloads\RiduxOS\linux\ridux-runtime\ridux-app.sh", "Shell Script", 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46, 391
"c:\Users\SEBA\Downloads\RiduxOS\linux\ridux-runtime\ridux-browser.sh", "Shell Script", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 53
"c:\Users\SEBA\Downloads\RiduxOS\linux\ridux-runtime\ridux-compat.sh", "Shell Script", 0, 0, 0, 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 430
"c:\Users\SEBA\Downloads\RiduxOS\linux\ridux-runtime\ridux-flush.c", "C", 0, 594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 668
